#
# CP932 : 398 non-round-trip mappings
# http://support.microsoft.com/default.aspx?scid=kb;ja;JP170559
#

0x8790	U+2252	0x81e0	#Approximately Equal To Or The Image Of
0x8791	U+2261	0x81df	#Identical To
0x8792	U+222b	0x81e7	#Integral
0x8795	U+221a	0x81e3	#Square Root
0x8796	U+22a5	0x81db	#Up Tack
0x8797	U+2220	0x81da	#Angle
0x879a	U+2235	0x81e6	#Because
0x879b	U+2229	0x81bf	#Intersection
0x879c	U+222a	0x81be	#Union
0xed40	U+7e8a	0xfa5c	#CJK Unified Ideograph
0xed41	U+891c	0xfa5d	#CJK Unified Ideograph
0xed42	U+9348	0xfa5e	#CJK Unified Ideograph
0xed43	U+9288	0xfa5f	#CJK Unified Ideograph
0xed44	U+84dc	0xfa60	#CJK Unified Ideograph
0xed45	U+4fc9	0xfa61	#CJK Unified Ideograph
0xed46	U+70bb	0xfa62	#CJK Unified Ideograph
0xed47	U+6631	0xfa63	#CJK Unified Ideograph
0xed48	U+68c8	0xfa64	#CJK Unified Ideograph
0xed49	U+92f9	0xfa65	#CJK Unified Ideograph
0xed4a	U+66fb	0xfa66	#CJK Unified Ideograph
0xed4b	U+5f45	0xfa67	#CJK Unified Ideograph
0xed4c	U+4e28	0xfa68	#CJK Unified Ideograph
0xed4d	U+4ee1	0xfa69	#CJK Unified Ideograph
0xed4e	U+4efc	0xfa6a	#CJK Unified Ideograph
0xed4f	U+4f00	0xfa6b	#CJK Unified Ideograph
0xed50	U+4f03	0xfa6c	#CJK Unified Ideograph
0xed51	U+4f39	0xfa6d	#CJK Unified Ideograph
0xed52	U+4f56	0xfa6e	#CJK Unified Ideograph
0xed53	U+4f92	0xfa6f	#CJK Unified Ideograph
0xed54	U+4f8a	0xfa70	#CJK Unified Ideograph
0xed55	U+4f9a	0xfa71	#CJK Unified Ideograph
0xed56	U+4f94	0xfa72	#CJK Unified Ideograph
0xed57	U+4fcd	0xfa73	#CJK Unified Ideograph
0xed58	U+5040	0xfa74	#CJK Unified Ideograph
0xed59	U+5022	0xfa75	#CJK Unified Ideograph
0xed5a	U+4fff	0xfa76	#CJK Unified Ideograph
0xed5b	U+501e	0xfa77	#CJK Unified Ideograph
0xed5c	U+5046	0xfa78	#CJK Unified Ideograph
0xed5d	U+5070	0xfa79	#CJK Unified Ideograph
0xed5e	U+5042	0xfa7a	#CJK Unified Ideograph
0xed5f	U+5094	0xfa7b	#CJK Unified Ideograph
0xed60	U+50f4	0xfa7c	#CJK Unified Ideograph
0xed61	U+50d8	0xfa7d	#CJK Unified Ideograph
0xed62	U+514a	0xfa7e	#CJK Unified Ideograph
0xed63	U+5164	0xfa80	#CJK Unified Ideograph
0xed64	U+519d	0xfa81	#CJK Unified Ideograph
0xed65	U+51be	0xfa82	#CJK Unified Ideograph
0xed66	U+51ec	0xfa83	#CJK Unified Ideograph
0xed67	U+5215	0xfa84	#CJK Unified Ideograph
0xed68	U+529c	0xfa85	#CJK Unified Ideograph
0xed69	U+52a6	0xfa86	#CJK Unified Ideograph
0xed6a	U+52c0	0xfa87	#CJK Unified Ideograph
0xed6b	U+52db	0xfa88	#CJK Unified Ideograph
0xed6c	U+5300	0xfa89	#CJK Unified Ideograph
0xed6d	U+5307	0xfa8a	#CJK Unified Ideograph
0xed6e	U+5324	0xfa8b	#CJK Unified Ideograph
0xed6f	U+5372	0xfa8c	#CJK Unified Ideograph
0xed70	U+5393	0xfa8d	#CJK Unified Ideograph
0xed71	U+53b2	0xfa8e	#CJK Unified Ideograph
0xed72	U+53dd	0xfa8f	#CJK Unified Ideograph
0xed73	U+fa0e	0xfa90	#CJK compatibility Ideograph
0xed74	U+549c	0xfa91	#CJK Unified Ideograph
0xed75	U+548a	0xfa92	#CJK Unified Ideograph
0xed76	U+54a9	0xfa93	#CJK Unified Ideograph
0xed77	U+54ff	0xfa94	#CJK Unified Ideograph
0xed78	U+5586	0xfa95	#CJK Unified Ideograph
0xed79	U+5759	0xfa96	#CJK Unified Ideograph
0xed7a	U+5765	0xfa97	#CJK Unified Ideograph
0xed7b	U+57ac	0xfa98	#CJK Unified Ideograph
0xed7c	U+57c8	0xfa99	#CJK Unified Ideograph
0xed7d	U+57c7	0xfa9a	#CJK Unified Ideograph
0xed7e	U+fa0f	0xfa9b	#CJK compatibility Ideograph
0xed80	U+fa10	0xfa9c	#CJK compatibility Ideograph
0xed81	U+589e	0xfa9d	#CJK Unified Ideograph
0xed82	U+58b2	0xfa9e	#CJK Unified Ideograph
0xed83	U+590b	0xfa9f	#CJK Unified Ideograph
0xed84	U+5953	0xfaa0	#CJK Unified Ideograph
0xed85	U+595b	0xfaa1	#CJK Unified Ideograph
0xed86	U+595d	0xfaa2	#CJK Unified Ideograph
0xed87	U+5963	0xfaa3	#CJK Unified Ideograph
0xed88	U+59a4	0xfaa4	#CJK Unified Ideograph
0xed89	U+59ba	0xfaa5	#CJK Unified Ideograph
0xed8a	U+5b56	0xfaa6	#CJK Unified Ideograph
0xed8b	U+5bc0	0xfaa7	#CJK Unified Ideograph
0xed8c	U+752f	0xfaa8	#CJK Unified Ideograph
0xed8d	U+5bd8	0xfaa9	#CJK Unified Ideograph
0xed8e	U+5bec	0xfaaa	#CJK Unified Ideograph
0xed8f	U+5c1e	0xfaab	#CJK Unified Ideograph
0xed90	U+5ca6	0xfaac	#CJK Unified Ideograph
0xed91	U+5cba	0xfaad	#CJK Unified Ideograph
0xed92	U+5cf5	0xfaae	#CJK Unified Ideograph
0xed93	U+5d27	0xfaaf	#CJK Unified Ideograph
0xed94	U+5d53	0xfab0	#CJK Unified Ideograph
0xed95	U+fa11	0xfab1	#CJK compatibility Ideograph
0xed96	U+5d42	0xfab2	#CJK Unified Ideograph
0xed97	U+5d6d	0xfab3	#CJK Unified Ideograph
0xed98	U+5db8	0xfab4	#CJK Unified Ideograph
0xed99	U+5db9	0xfab5	#CJK Unified Ideograph
0xed9a	U+5dd0	0xfab6	#CJK Unified Ideograph
0xed9b	U+5f21	0xfab7	#CJK Unified Ideograph
0xed9c	U+5f34	0xfab8	#CJK Unified Ideograph
0xed9d	U+5f67	0xfab9	#CJK Unified Ideograph
0xed9e	U+5fb7	0xfaba	#CJK Unified Ideograph
0xed9f	U+5fde	0xfabb	#CJK Unified Ideograph
0xeda0	U+605d	0xfabc	#CJK Unified Ideograph
0xeda1	U+6085	0xfabd	#CJK Unified Ideograph
0xeda2	U+608a	0xfabe	#CJK Unified Ideograph
0xeda3	U+60de	0xfabf	#CJK Unified Ideograph
0xeda4	U+60d5	0xfac0	#CJK Unified Ideograph
0xeda5	U+6120	0xfac1	#CJK Unified Ideograph
0xeda6	U+60f2	0xfac2	#CJK Unified Ideograph
0xeda7	U+6111	0xfac3	#CJK Unified Ideograph
0xeda8	U+6137	0xfac4	#CJK Unified Ideograph
0xeda9	U+6130	0xfac5	#CJK Unified Ideograph
0xedaa	U+6198	0xfac6	#CJK Unified Ideograph
0xedab	U+6213	0xfac7	#CJK Unified Ideograph
0xedac	U+62a6	0xfac8	#CJK Unified Ideograph
0xedad	U+63f5	0xfac9	#CJK Unified Ideograph
0xedae	U+6460	0xfaca	#CJK Unified Ideograph
0xedaf	U+649d	0xfacb	#CJK Unified Ideograph
0xedb0	U+64ce	0xfacc	#CJK Unified Ideograph
0xedb1	U+654e	0xfacd	#CJK Unified Ideograph
0xedb2	U+6600	0xface	#CJK Unified Ideograph
0xedb3	U+6615	0xfacf	#CJK Unified Ideograph
0xedb4	U+663b	0xfad0	#CJK Unified Ideograph
0xedb5	U+6609	0xfad1	#CJK Unified Ideograph
0xedb6	U+662e	0xfad2	#CJK Unified Ideograph
0xedb7	U+661e	0xfad3	#CJK Unified Ideograph
0xedb8	U+6624	0xfad4	#CJK Unified Ideograph
0xedb9	U+6665	0xfad5	#CJK Unified Ideograph
0xedba	U+6657	0xfad6	#CJK Unified Ideograph
0xedbb	U+6659	0xfad7	#CJK Unified Ideograph
0xedbc	U+fa12	0xfad8	#CJK compatibility Ideograph
0xedbd	U+6673	0xfad9	#CJK Unified Ideograph
0xedbe	U+6699	0xfada	#CJK Unified Ideograph
0xedbf	U+66a0	0xfadb	#CJK Unified Ideograph
0xedc0	U+66b2	0xfadc	#CJK Unified Ideograph
0xedc1	U+66bf	0xfadd	#CJK Unified Ideograph
0xedc2	U+66fa	0xfade	#CJK Unified Ideograph
0xedc3	U+670e	0xfadf	#CJK Unified Ideograph
0xedc4	U+f929	0xfae0	#CJK compatibility Ideograph
0xedc5	U+6766	0xfae1	#CJK Unified Ideograph
0xedc6	U+67bb	0xfae2	#CJK Unified Ideograph
0xedc7	U+6852	0xfae3	#CJK Unified Ideograph
0xedc8	U+67c0	0xfae4	#CJK Unified Ideograph
0xedc9	U+6801	0xfae5	#CJK Unified Ideograph
0xedca	U+6844	0xfae6	#CJK Unified Ideograph
0xedcb	U+68cf	0xfae7	#CJK Unified Ideograph
0xedcc	U+fa13	0xfae8	#CJK compatibility Ideograph
0xedcd	U+6968	0xfae9	#CJK Unified Ideograph
0xedce	U+fa14	0xfaea	#CJK compatibility Ideograph
0xedcf	U+6998	0xfaeb	#CJK Unified Ideograph
0xedd0	U+69e2	0xfaec	#CJK Unified Ideograph
0xedd1	U+6a30	0xfaed	#CJK Unified Ideograph
0xedd2	U+6a6b	0xfaee	#CJK Unified Ideograph
0xedd3	U+6a46	0xfaef	#CJK Unified Ideograph
0xedd4	U+6a73	0xfaf0	#CJK Unified Ideograph
0xedd5	U+6a7e	0xfaf1	#CJK Unified Ideograph
0xedd6	U+6ae2	0xfaf2	#CJK Unified Ideograph
0xedd7	U+6ae4	0xfaf3	#CJK Unified Ideograph
0xedd8	U+6bd6	0xfaf4	#CJK Unified Ideograph
0xedd9	U+6c3f	0xfaf5	#CJK Unified Ideograph
0xedda	U+6c5c	0xfaf6	#CJK Unified Ideograph
0xeddb	U+6c86	0xfaf7	#CJK Unified Ideograph
0xeddc	U+6c6f	0xfaf8	#CJK Unified Ideograph
0xeddd	U+6cda	0xfaf9	#CJK Unified Ideograph
0xedde	U+6d04	0xfafa	#CJK Unified Ideograph
0xeddf	U+6d87	0xfafb	#CJK Unified Ideograph
0xede0	U+6d6f	0xfafc	#CJK Unified Ideograph
0xede1	U+6d96	0xfb40	#CJK Unified Ideograph
0xede2	U+6dac	0xfb41	#CJK Unified Ideograph
0xede3	U+6dcf	0xfb42	#CJK Unified Ideograph
0xede4	U+6df8	0xfb43	#CJK Unified Ideograph
0xede5	U+6df2	0xfb44	#CJK Unified Ideograph
0xede6	U+6dfc	0xfb45	#CJK Unified Ideograph
0xede7	U+6e39	0xfb46	#CJK Unified Ideograph
0xede8	U+6e5c	0xfb47	#CJK Unified Ideograph
0xede9	U+6e27	0xfb48	#CJK Unified Ideograph
0xedea	U+6e3c	0xfb49	#CJK Unified Ideograph
0xedeb	U+6ebf	0xfb4a	#CJK Unified Ideograph
0xedec	U+6f88	0xfb4b	#CJK Unified Ideograph
0xeded	U+6fb5	0xfb4c	#CJK Unified Ideograph
0xedee	U+6ff5	0xfb4d	#CJK Unified Ideograph
0xedef	U+7005	0xfb4e	#CJK Unified Ideograph
0xedf0	U+7007	0xfb4f	#CJK Unified Ideograph
0xedf1	U+7028	0xfb50	#CJK Unified Ideograph
0xedf2	U+7085	0xfb51	#CJK Unified Ideograph
0xedf3	U+70ab	0xfb52	#CJK Unified Ideograph
0xedf4	U+710f	0xfb53	#CJK Unified Ideograph
0xedf5	U+7104	0xfb54	#CJK Unified Ideograph
0xedf6	U+715c	0xfb55	#CJK Unified Ideograph
0xedf7	U+7146	0xfb56	#CJK Unified Ideograph
0xedf8	U+7147	0xfb57	#CJK Unified Ideograph
0xedf9	U+fa15	0xfb58	#CJK compatibility Ideograph
0xedfa	U+71c1	0xfb59	#CJK Unified Ideograph
0xedfb	U+71fe	0xfb5a	#CJK Unified Ideograph
0xedfc	U+72b1	0xfb5b	#CJK Unified Ideograph
0xee40	U+72be	0xfb5c	#CJK Unified Ideograph
0xee41	U+7324	0xfb5d	#CJK Unified Ideograph
0xee42	U+fa16	0xfb5e	#CJK compatibility Ideograph
0xee43	U+7377	0xfb5f	#CJK Unified Ideograph
0xee44	U+73bd	0xfb60	#CJK Unified Ideograph
0xee45	U+73c9	0xfb61	#CJK Unified Ideograph
0xee46	U+73d6	0xfb62	#CJK Unified Ideograph
0xee47	U+73e3	0xfb63	#CJK Unified Ideograph
0xee48	U+73d2	0xfb64	#CJK Unified Ideograph
0xee49	U+7407	0xfb65	#CJK Unified Ideograph
0xee4a	U+73f5	0xfb66	#CJK Unified Ideograph
0xee4b	U+7426	0xfb67	#CJK Unified Ideograph
0xee4c	U+742a	0xfb68	#CJK Unified Ideograph
0xee4d	U+7429	0xfb69	#CJK Unified Ideograph
0xee4e	U+742e	0xfb6a	#CJK Unified Ideograph
0xee4f	U+7462	0xfb6b	#CJK Unified Ideograph
0xee50	U+7489	0xfb6c	#CJK Unified Ideograph
0xee51	U+749f	0xfb6d	#CJK Unified Ideograph
0xee52	U+7501	0xfb6e	#CJK Unified Ideograph
0xee53	U+756f	0xfb6f	#CJK Unified Ideograph
0xee54	U+7682	0xfb70	#CJK Unified Ideograph
0xee55	U+769c	0xfb71	#CJK Unified Ideograph
0xee56	U+769e	0xfb72	#CJK Unified Ideograph
0xee57	U+769b	0xfb73	#CJK Unified Ideograph
0xee58	U+76a6	0xfb74	#CJK Unified Ideograph
0xee59	U+fa17	0xfb75	#CJK compatibility Ideograph
0xee5a	U+7746	0xfb76	#CJK Unified Ideograph
0xee5b	U+52af	0xfb77	#CJK Unified Ideograph
0xee5c	U+7821	0xfb78	#CJK Unified Ideograph
0xee5d	U+784e	0xfb79	#CJK Unified Ideograph
0xee5e	U+7864	0xfb7a	#CJK Unified Ideograph
0xee5f	U+787a	0xfb7b	#CJK Unified Ideograph
0xee60	U+7930	0xfb7c	#CJK Unified Ideograph
0xee61	U+fa18	0xfb7d	#CJK compatibility Ideograph
0xee62	U+fa19	0xfb7e	#CJK compatibility Ideograph
0xee63	U+fa1a	0xfb80	#CJK compatibility Ideograph
